"date","ita","ger","spread"
2026-03-15,3.748,2.9453,0.8027
2026-03-08,3.802,2.9768,0.8252
2026-03-01,3.637,2.8643,0.7727
2026-02-22,3.279,2.6527,0.6263
2026-02-15,3.351,2.7385,0.6125
2026-02-08,3.374,2.7573,0.6167
2026-02-01,3.476,2.8476,0.6284
2026-01-25,3.464,2.8446,0.6194
2026-01-18,3.517,2.903,0.614
2026-01-11,3.416,2.8382,0.5778
2026-01-04,3.457,2.8256,0.6314
2025-12-28,3.57,2.899,0.671
2025-12-21,3.518,2.8647,0.6533
2025-12-14,3.547,2.8925,0.6545
2025-12-07,3.554,2.8611,0.6929
2025-11-30,3.494,2.8001,0.6939
2025-11-23,3.404,2.6913,0.7127
2025-11-16,3.464,2.698,0.766
2025-11-09,3.465,2.7166,0.7484
2025-11-02,3.43,2.6676,0.7624
2025-10-26,3.384,2.6369,0.7471
2025-10-19,3.417,2.6242,0.7928
2025-10-12,3.378,2.5784,0.7996
2025-10-05,3.489,2.634,0.855
2025-09-28,3.542,2.7,0.842
2025-09-21,3.608,2.7451,0.8629
2025-09-14,3.567,2.7485,0.8185
2025-09-07,3.547,2.7133,0.8337
2025-08-31,3.531,2.6582,0.8728
2025-08-24,3.615,2.7222,0.8928
2025-08-17,3.55,2.7191,0.8309
2025-08-10,3.52,2.7787,0.7413
2025-08-03,3.507,2.6874,0.8196
2025-07-27,3.54,2.677,0.863
2025-07-20,3.581,2.716,0.865
2025-07-13,3.576,2.691,0.885
2025-07-06,3.603,2.686,0.917
2025-06-29,3.475,2.567,0.908
2025-06-22,3.497,2.598,0.899
2025-06-15,3.522,2.513,1.009
2025-06-08,3.487,2.536,0.951
2025-06-01,3.494,2.562,0.932
2025-05-25,3.483,2.508,0.975
2025-05-18,3.593,2.574,1.019
2025-05-11,3.595,2.586,1.009
2025-05-04,3.609,2.551,1.058
2025-04-27,3.628,2.52,1.108
2025-04-20,3.58,2.473,1.107
2025-04-13,3.646,2.4645,1.1815
2025-04-06,3.805,2.527,1.278
2025-03-30,3.758,2.5695,1.1885
2025-03-23,3.851,2.732,1.119
2025-03-16,3.816,2.765,1.051
2025-03-09,3.94,2.873,1.067
2025-03-02,3.9,2.835,1.065
2025-02-23,3.474,2.3865,1.0875
2025-02-16,3.553,2.4625,1.0905
2025-02-09,3.516,2.423,1.093
2025-02-02,3.463,2.377,1.086
2025-01-26,3.552,2.459,1.093
2025-01-19,3.655,2.5445,1.1105
2025-01-12,3.642,2.503,1.139
2025-01-05,3.766,2.5675,1.1985
2024-12-29,3.592,2.4245,1.1675
2024-12-22,3.535,2.3895,1.1455
2024-12-15,3.447,2.2865,1.1605
2024-12-08,3.385,2.247,1.138
2024-12-01,3.191,2.1125,1.0785
2024-11-24,3.272,2.087,1.185
2024-11-17,3.503,2.252,1.251
2024-11-10,3.553,2.3485,1.2045
2024-11-03,3.657,2.364,1.293
2024-10-27,3.682,2.4035,1.2785
2024-10-20,3.507,2.29,1.217
2024-10-13,3.358,2.182,1.176
2024-10-06,3.56,2.274,1.286
2024-09-29,3.514,2.212,1.302
2024-09-22,3.457,2.14,1.317
2024-09-15,3.56,2.221,1.339
2024-09-08,3.514,2.149,1.365
2024-09-01,3.556,2.171,1.385
2024-08-25,3.691,2.29,1.401
2024-08-18,3.568,2.225,1.343
2024-08-11,3.641,2.258,1.383
2024-08-04,3.644,2.222,1.422
2024-07-28,3.627,2.16,1.467
2024-07-21,3.762,2.403,1.359
2024-07-14,3.779,2.463,1.316
2024-07-07,3.793,2.496,1.297
2024-06-30,3.941,2.532,1.409
2024-06-23,4.067,2.485,1.582
2024-06-16,3.943,2.397,1.546
2024-06-09,3.916,2.357,1.559
2024-06-02,3.957,2.616,1.341
2024-05-26,3.965,2.663,1.302
2024-05-19,3.887,2.58,1.307
2024-05-12,3.807,2.519,1.288
2024-05-05,3.852,2.5115,1.3405
2024-04-28,3.836,2.491,1.345
2024-04-21,3.89,2.577,1.313
2024-04-14,3.903,2.5015,1.4015
2024-04-07,3.742,2.36,1.382
2024-03-31,3.791,2.404,1.387
2024-03-24,3.671,2.293,1.378
2024-03-17,3.637,2.321,1.316
2024-03-10,3.701,2.437,1.264
2024-03-03,3.577,2.269,1.308
2024-02-25,3.884,2.413,1.471
2024-02-18,3.809,2.362,1.447
2024-02-11,3.886,2.401,1.485
2024-02-04,3.965,2.38,1.585
2024-01-28,3.81,2.229,1.581
2024-01-21,3.823,2.297,1.526
2024-01-14,3.873,2.304,1.569
2024-01-07,3.726,2.143,1.583
2023-12-31,3.83,2.143,1.687
2023-12-24,3.712,2.028,1.684
2023-12-17,3.548,1.969,1.579
2023-12-10,3.727,2.013,1.714
2023-12-03,4.055,2.268,1.787
2023-11-26,4.105,2.361,1.744
2023-11-19,4.402,2.645,1.757
2023-11-12,4.362,2.59,1.772
2023-11-05,4.57,2.71,1.86
2023-10-29,4.445,2.638,1.807
2023-10-22,4.808,2.834,1.974
2023-10-15,4.927,2.883,2.044
2023-10-08,4.758,2.732,2.026
2023-10-01,4.922,2.885,2.037
2023-09-24,4.786,2.838,1.948
2023-09-17,4.582,2.735,1.847
2023-09-10,4.461,2.67,1.791
2023-09-03,4.339,2.598,1.741
2023-08-27,4.234,2.544,1.69
2023-08-20,4.232,2.557,1.675
2023-08-13,4.326,2.621,1.705
2023-08-06,4.253,2.62,1.633
2023-07-30,4.226,2.541,1.685
2023-07-23,4.105,2.458,1.647
2023-07-16,4.069,2.428,1.641
2023-07-09,4.173,2.477,1.696
2023-07-02,4.358,2.635,1.723
2023-06-25,4.072,2.391,1.681
2023-06-18,3.999,2.357,1.642
2023-06-11,4.036,2.461,1.575
2023-06-04,4.119,2.379,1.74
2023-05-28,3.975,2.307,1.668
2023-05-21,4.397,2.538,1.859
2023-05-14,4.257,2.428,1.829
2023-05-07,4.117,2.266,1.851
2023-04-30,4.2,2.295,1.905
2023-04-23,4.35,2.322,2.028
2023-04-16,4.359,2.485,1.874
2023-04-09,4.286,2.433,1.853
2023-04-02,4.024,2.181,1.843
2023-03-26,4.123,2.301,1.822
2023-03-19,4.013,2.122,1.891
2023-03-12,4.055,2.131,1.924
2023-03-05,4.32,2.498,1.822
2023-02-26,4.631,2.714,1.917
2023-02-19,4.433,2.53,1.903
2023-02-12,4.311,2.457,1.854
2023-02-05,4.215,2.367,1.848
2023-01-29,4.023,2.196,1.827
2023-01-22,4.231,2.24,1.991
2023-01-15,3.974,2.169,1.805
2023-01-08,3.986,2.143,1.843
2023-01-01,4.214,2.21,2.004
2022-12-25,4.692,2.563,2.129
2022-12-18,4.508,2.391,2.117
2022-12-11,4.299,2.159,2.14
2022-12-04,3.803,1.923,1.88
2022-11-27,3.769,1.855,1.914
2022-11-20,3.859,1.969,1.89
2022-11-13,3.886,2.018,1.868
2022-11-06,4.206,2.158,2.048
2022-10-30,4.456,2.289,2.167
2022-10-23,4.153,2.086,2.067
2022-10-16,4.774,2.437,2.337
2022-10-09,4.803,2.361,2.442
2022-10-02,4.7,2.197,2.503
2022-09-25,4.508,2.109,2.399
2022-09-18,4.362,2.031,2.331
2022-09-11,4.043,1.765,2.278
2022-09-04,4.014,1.7,2.314
2022-08-28,3.837,1.52,2.317
2022-08-21,3.553,1.398,2.155
2022-08-14,3.491,1.234,2.257
2022-08-07,3.072,0.99,2.082
2022-07-31,3.026,0.961,2.065
2022-07-24,3.152,0.825,2.327
2022-07-17,3.42,1.023,2.397
2022-07-10,3.407,1.128,2.279
2022-07-03,3.362,1.346,2.016
2022-06-26,3.205,1.226,1.979
2022-06-19,3.485,1.44,2.045
2022-06-12,3.675,1.669,2.006
2022-06-05,3.845,1.502,2.343
2022-05-29,3.402,1.27,2.132
2022-05-22,2.9,0.963,1.937
2022-05-15,2.98,0.942,2.038
2022-05-08,2.85,0.947,1.903
2022-05-01,3.15,1.137,2.013
2022-04-24,2.78,0.935,1.845
2022-04-17,2.665,0.963,1.702
2022-04-10,2.493,0.839,1.654
2022-04-03,2.364,0.71,1.654
2022-03-27,2.109,0.566,1.543
2022-03-20,2.074,0.57,1.504
2022-03-13,1.884,0.367,1.517
2022-03-06,1.867,0.27,1.597
2022-02-27,1.523,-0.101,1.624
2022-02-20,1.847,0.224,1.623
2022-02-13,1.85,0.205,1.645
2022-02-06,1.954,0.292,1.662
2022-01-30,1.75,0.208,1.542
2022-01-23,1.349,-0.047,1.396
2022-01-16,1.356,-0.06,1.416
2022-01-09,1.334,-0.049,1.383
2022-01-02,1.321,-0.029,1.35
2021-12-26,1.185,-0.179,1.364
2021-12-19,1.127,-0.251,1.378
2021-12-12,0.913,-0.375,1.288
2021-12-05,0.957,-0.35,1.307
2021-11-28,0.923,-0.378,1.301
2021-11-21,0.972,-0.338,1.31
2021-11-14,0.867,-0.341,1.208
2021-11-07,0.96,-0.256,1.216
2021-10-31,0.878,-0.28,1.158
2021-10-24,1.14,-0.094,1.234
2021-10-17,0.964,-0.097,1.061
2021-10-10,0.868,-0.171,1.039
2021-10-03,0.879,-0.147,1.026
2021-09-26,0.82,-0.219,1.039
2021-09-19,0.787,-0.228,1.015
2021-09-12,0.718,-0.279,0.997
2021-09-05,0.706,-0.332,1.038
2021-08-29,0.706,-0.358,1.064
2021-08-22,0.642,-0.419,1.061
2021-08-15,0.545,-0.495,1.04
2021-08-08,0.552,-0.463,1.015
2021-08-01,0.571,-0.455,1.026
2021-07-25,0.627,-0.458,1.085
2021-07-18,0.631,-0.413,1.044
2021-07-11,0.701,-0.351,1.052
2021-07-04,0.765,-0.292,1.057
2021-06-27,0.777,-0.235,1.012
2021-06-20,0.924,-0.156,1.08
2021-06-13,0.869,-0.203,1.072
2021-06-06,0.75,-0.269,1.019
2021-05-30,0.872,-0.209,1.081
2021-05-23,0.915,-0.184,1.099
2021-05-16,1.038,-0.127,1.165
2021-05-09,1.076,-0.123,1.199
2021-05-02,0.923,-0.219,1.142
2021-04-25,0.866,-0.2,1.066
2021-04-18,0.782,-0.257,1.039
2021-04-11,0.752,-0.262,1.014
2021-04-04,0.741,-0.297,1.038
2021-03-28,0.633,-0.325,0.958
2021-03-21,0.616,-0.349,0.965
2021-03-14,0.672,-0.294,0.966
2021-03-07,0.639,-0.295,0.934
2021-02-28,0.765,-0.304,1.069
2021-02-21,0.771,-0.257,1.028
2021-02-14,0.622,-0.313,0.935
2021-02-07,0.488,-0.43,0.918
2021-01-31,0.543,-0.443,0.986
2021-01-24,0.65,-0.52,1.17
2021-01-17,0.707,-0.513,1.22
2021-01-10,0.583,-0.542,1.125
2021-01-03,0.498,-0.517,1.015
2020-12-27,0.521,-0.575,1.096
2020-12-20,0.564,-0.549,1.113
2020-12-13,0.536,-0.572,1.108
2020-12-06,0.522,-0.638,1.16
2020-11-29,0.593,-0.543,1.136
2020-11-22,0.56,-0.585,1.145
2020-11-15,0.599,-0.583,1.182
